rank,tool,category,mentions_total,priority,didctf,didctf_external,xidian,yagami,notes
1,火眼证据分析,needs_review,552,P0,0,236,316,0,
2,hashcat,password_recovery,116,P0,1,41,58,16,
3,盘古石,needs_review,96,P0,22,32,32,10,
4,John the Ripper,password_recovery,92,P0,2,8,76,6,
5,FTK Imager,disk_imaging,88,P0,2,26,54,6,
6,美亚取证,needs_review,85,P0,6,21,58,0,
7,VMware,virtualization,65,P1,0,11,48,6,
8,IDA,reverse_engineering,57,P1,0,18,39,0,
9,Volatility,memory_forensics,56,P1,10,17,29,0,
10,X-Ways Forensics,disk_forensics,46,P1,0,2,42,2,
11,ADB,android_forensics,40,P1,0,12,28,0,
12,010 Editor,hex_and_file_analysis,40,P1,0,14,26,0,
13,JADX,android_reverse,40,P1,0,12,28,0,
14,CyberChef,encoding_and_ctf,38,P2,1,14,23,0,
15,Wireshark,traffic_analysis,35,P2,1,10,24,0,
16,取证大师,needs_review,32,P2,0,5,27,0,
17,弘连,needs_review,26,P2,0,4,22,0,
18,7-Zip,archive_analysis,19,P2,0,5,14,0,
19,雷电 APP 智能分析,needs_review,14,P2,0,5,9,0,
20,SQLite Browser,database_forensics,14,P2,0,3,11,0,
21,binwalk,ctf_forensics,12,P2,1,4,7,0,
22,HashMyFiles,hashing,12,P2,0,3,9,0,
23,火眼仿真取证,needs_review,11,P2,0,3,8,0,
24,Autopsy,disk_forensics,9,P3,1,0,8,0,
25,R-Studio,data_recovery,8,P3,0,2,5,1,
26,YARA,malware_and_ir,6,P3,6,0,0,0,
27,VirtualBox,virtualization,6,P3,0,2,2,2,
28,MemProcFS,memory_forensics,4,P3,2,0,2,0,
29,foremost,file_carving,4,P3,1,0,3,0,
30,StegSolve,steganography,4,P3,1,0,3,0,
31,Zeek,traffic_analysis,3,P3,3,0,0,0,
32,Ghidra,reverse_engineering,3,P3,1,1,1,0,
33,tshark,traffic_analysis,3,P3,0,3,0,0,
34,ExifTool,metadata,2,P3,2,0,0,0,
35,Audacity,audio_forensics,2,P3,0,0,2,0,
36,NetworkMiner,traffic_analysis,1,P3,1,0,0,0,
37,scalpel,file_carving,1,P3,1,0,0,0,
38,zsteg,steganography,1,P3,1,0,0,0,
39,apktool,android_reverse,1,P3,0,0,1,0,
