tool,mentions_total,didctf,xidian,yagami,deployment,license_type,domestic_vendor
火眼证据分析,552,236,316,0,vendor_platform,commercial,弘连
hashcat,239,86,117,36,local,open_source,
Frida,178,63,115,0,local,open_source,
FTK Imager,132,42,81,9,local,commercial,
Volatility,104,55,49,0,local,open_source,
盘古石,96,54,32,10,vendor_platform,commercial,盘古石
John the Ripper,94,11,77,6,local,open_source,
美亚取证,85,27,58,0,vendor_platform,commercial,美亚柏科
CyberChef,80,34,46,0,online,open_source,
Wireshark,78,29,49,0,local,open_source,
VMware,65,11,48,6,local,commercial,
IDA,57,18,39,0,local,commercial,
DIE,49,15,34,0,local,open_source,
X-Ways Forensics,46,2,42,2,local,commercial,
iLEAPP,42,14,28,0,local,open_source,
010 Editor,40,14,26,0,local,commercial,
ADB,40,12,28,0,local,open_source,
JADX,40,12,28,0,local,open_source,
取证大师,32,5,27,0,vendor_platform,commercial,取证大师
Passware Kit,29,11,18,0,local,commercial,
binwalk,28,12,16,0,local,open_source,
SQLite Browser,27,5,22,0,local,open_source,
LiME,26,2,24,0,local,open_source,
弘连,26,4,22,0,vendor_platform,commercial,弘连
7-Zip,19,5,14,0,local,freeware,
Autopsy,18,2,16,0,local,open_source,
SageMath,14,14,0,0,local,open_source,
科来网络分析系统,14,5,9,0,vendor_platform,commercial,科来
雷电 APP 智能分析,14,5,9,0,vendor_platform,commercial,弘连
Mimikatz,13,7,6,0,local,open_source,
foremost,12,6,6,0,local,open_source,
HashMyFiles,12,3,9,0,local,freeware,
YARA,11,11,0,0,local,open_source,
火眼仿真取证,11,3,8,0,vendor_platform,commercial,弘连
MemProcFS,10,6,4,0,local,open_source,
Steghide,9,6,3,0,local,open_source,
R-Studio,8,2,5,1,local,commercial,
StegSolve,8,2,6,0,local,open_source,
Wazuh,8,8,0,0,local,open_source,
Zeek,8,8,0,0,local,open_source,
ALEAPP,6,4,2,0,local,open_source,
Ghidra,6,4,2,0,local,open_source,
VirtualBox,6,2,2,2,local,open_source,
Zui,6,4,2,0,local,unknown,
Hayabusa,5,5,0,0,local,open_source,
WinRAR,5,0,5,0,local,freeware,
CTF-NetA,4,4,0,0,local,unknown,
FinallShell 密码解密GUI工具,4,3,1,0,local,open_source,
SQLiteStudio,4,0,4,0,local,open_source,
AVML,3,3,0,0,local,open_source,
